#,Файл,Место,Проблема,Исправление
12,build_notebook_v9.py::run_direct_game (адаптированный child),while True:,В адаптированной версии убран лимит max_actions (в шаблоне был while accepted_actions < max_actions); LCLD_MAX_ACTIONS_PER_GAME=500 остаётся только в манифесте,"Вернуть проверку лимита в цикл либо письменно убедиться, что gateway сам обрезает игру на 500 действиях"
13,working_phase_b.py,Планировщик (soft_deadline", "executor),"После soft-дедлайна не прерываются уже запущенные игры: игра, стартовавшая у дедлайна, может выйти за лимит ядра; scorecard не успеет закрыться",Ставить abort_event.set()" по дедлайну и/или не сабмитить игру, если "now + game_wall_limit > soft_deadline
14,v9_agent/judge.py,PreflightJudge.validate()", блок "same_candidate_repeat_suppressed,Поиск last события по action_id в memory.events без привязки к уровню/состоянию — события прошлых уровней влияют на подавление повторов,Фильтровать события по level_index/state_signature текущего снапшота
15,v9_agent/hypothesis_bank.py,_enqueue_progress_continuation(),Продолжение строится с шага 0 плана (for step in item.test_plan"), а не с оставшихся шагов — противоречит комментарию «Keep only remaining steps»",Подтвердить задуманное поведение; если нужны только остаточные шаги — срезать по item.cursor
16,v9_agent/hypothesis_bank.py,update()", блок TRUE+POSITIVE",Промоция в confirmed_rules пропускает гипотезы с """qwen"" in item.source"; подтверждённые qwen-планы идут только через continuation,"Подтвердить, что это замысел; если нет — убрать условие по source"
17,v9_agent/qwen_packet.py,_validate_layered_packet_references(),Бросает ValueError; при qwen_require_runtime=True и первом вызове это фатит игру. Регрессия сборки пакета = гарантированный провал первой игры,Валидировать пакет в pre-scorecard smoke; в боевом пути смягчать до soft-fail
18,working_common_v9.py,_assert_expected_cuda_gpu(),"Требует ровно 1 GPU и подстроку 'rtx 6000' в имени — любое отклонение окружения (2 GPU, другой SKU) → мгновенный fail",Разрешить ≥1 GPU или сделать проверку конфигурируемой
19,v9_agent/llm.py,_call_vllm_once()", "qwen_timeout_seconds=700,6 вызовов × 700 с = до 4200 с одних таймаутов при лимите игры 5000 с,Снизить пер-call таймаут до 240–300 с
20,v9_agent/hypothesis_bank.py,"next_candidate_action(..., dry_run=True)",Элементы с неудачным биндингом молча пропускаются → has_executable_candidate занижается → лишние вызовы Qwen,В dry_run помечать такие элементы невалидными (или учитывать отдельно)
21,v9_agent/llm.py,_extract_json() markdown-регулярка \{.*?\},Ненасыщенный паттерн обрезает вложенный JSON по первой }; спасает только fallback-сканер,Использовать жадный поиск с балансировкой скобок либо полагаться на raw_decode первым
